participant_id,preferred_condition,trust_comparison,preference_reason,switching_behavior,suggestions
P01,glass_only,hybrid_higher,"글래스 하나로 충분했고 추가 기기가 오히려 산만했습니다","처음에는 자주 확인했지만 나중에는 글래스만 봤습니다","음성 안내가 추가되면 좋겠습니다"
P02,hybrid,hybrid_higher,"화살표만으로는 불안했는데 지도가 있어서 좋았습니다","목적지 근처에서 정보 카드를 확인했습니다","화살표 색상이 더 눈에 띄면 좋겠습니다"
P03,no_preference,hybrid_higher,"특별한 차이를 못 느꼈습니다","갈림길에서 지도를 확인하기 위해 전환했습니다","음성 안내가 추가되면 좋겠습니다"
P04,hybrid,same,"두 기기를 함께 사용하니 정보가 풍부해서 좋았습니다","불확실할 때마다 지도를 확인했습니다","화살표가 가끔 엉뚱한 방향을 가리켜서 혼란스러웠습니다"
P05,no_preference,hybrid_higher,"각각 장단점이 있어서 판단이 어려웠습니다","불확실할 때마다 지도를 확인했습니다","화살표 색상이 더 눈에 띄면 좋겠습니다"
P06,glass_only,glass_higher,"글래스만 보면 되니까 더 직관적이었습니다","처음에는 자주 확인했지만 나중에는 글래스만 봤습니다","지도가 더 크고 상세하면 좋겠습니다"
P07,hybrid,glass_higher,"글래스 화살표가 불안정할 때 Beam Pro가 보완해줬습니다","갈림길에서 지도를 확인하기 위해 전환했습니다","목적지까지 남은 거리가 표시되면 좋겠습니다"
P08,hybrid,same,"글래스 화살표가 불안정할 때 Beam Pro가 보완해줬습니다","불확실할 때마다 지도를 확인했습니다","화살표가 가끔 엉뚱한 방향을 가리켜서 혼란스러웠습니다"
P09,glass_only,glass_higher,"Beam Pro를 꺼내 보는 게 번거로웠습니다","처음에는 자주 확인했지만 나중에는 글래스만 봤습니다","처음 사용법을 익히는 데 시간이 좀 걸렸습니다"
P10,glass_only,hybrid_higher,"화살표만 따라가면 되니까 간단했습니다","목적지 근처에서 정보 카드를 확인했습니다","건물 층 정보도 함께 표시되면 좋겠습니다"
P11,no_preference,same,"두 조건 모두 비슷하게 느껴졌습니다","미션 정보를 확인할 때만 Beam Pro를 봤습니다","목적지까지 남은 거리가 표시되면 좋겠습니다"
P12,hybrid,glass_higher,"화살표만으로는 불안했는데 지도가 있어서 좋았습니다","거의 전환하지 않고 글래스 화살표만 따라갔습니다","음성 안내가 추가되면 좋겠습니다"
P13,hybrid,hybrid_higher,"지도를 함께 볼 수 있어서 경로를 더 잘 파악할 수 있었습니다","미션 정보를 확인할 때만 Beam Pro를 봤습니다","건물 층 정보도 함께 표시되면 좋겠습니다"
P14,no_preference,same,"각각 장단점이 있어서 판단이 어려웠습니다","불확실할 때마다 지도를 확인했습니다","처음 사용법을 익히는 데 시간이 좀 걸렸습니다"
P15,hybrid,glass_higher,"지도를 함께 볼 수 있어서 경로를 더 잘 파악할 수 있었습니다","목적지 근처에서 정보 카드를 확인했습니다","음성 안내가 추가되면 좋겠습니다"
P16,hybrid,same,"지도를 함께 볼 수 있어서 경로를 더 잘 파악할 수 있었습니다","불확실할 때마다 지도를 확인했습니다","화살표 안정성이 더 높아지면 좋겠습니다"
P17,hybrid,hybrid_higher,"두 기기를 함께 사용하니 정보가 풍부해서 좋았습니다","거의 전환하지 않고 글래스 화살표만 따라갔습니다","화살표 안정성이 더 높아지면 좋겠습니다"
P18,hybrid,hybrid_higher,"Beam Pro에서 추가 정보를 확인할 수 있어서 안심이 됐습니다","불확실할 때마다 지도를 확인했습니다","음성 안내가 추가되면 좋겠습니다"
P19,hybrid,same,"두 기기를 함께 사용하니 정보가 풍부해서 좋았습니다","미션 정보를 확인할 때만 Beam Pro를 봤습니다","전반적으로 만족했습니다"
P20,glass_only,hybrid_higher,"글래스만 보면 되니까 더 직관적이었습니다","거의 전환하지 않고 글래스 화살표만 따라갔습니다","처음 사용법을 익히는 데 시간이 좀 걸렸습니다"
P21,hybrid,glass_higher,"지도를 함께 볼 수 있어서 경로를 더 잘 파악할 수 있었습니다","갈림길에서 지도를 확인하기 위해 전환했습니다","건물 층 정보도 함께 표시되면 좋겠습니다"
P22,no_preference,same,"두 조건 모두 비슷하게 느껴졌습니다","트리거 구간에서 특히 Beam Pro를 많이 확인했습니다","화살표가 가끔 엉뚱한 방향을 가리켜서 혼란스러웠습니다"
P23,hybrid,hybrid_higher,"Beam Pro에서 추가 정보를 확인할 수 있어서 안심이 됐습니다","처음에는 자주 확인했지만 나중에는 글래스만 봤습니다","지도가 더 크고 상세하면 좋겠습니다"
P24,no_preference,hybrid_higher,"각각 장단점이 있어서 판단이 어려웠습니다","거의 전환하지 않고 글래스 화살표만 따라갔습니다","건물 층 정보도 함께 표시되면 좋겠습니다"
